userName,needSupport,specificSituation,isSocial,whoneed,precisionOrStrength,needInterfaces,interfaces,needMaintenance,whyNeedInterfaces,societalNecessity,otherComments
Juwon,はい,学校,はい,身体に障がいのある方や高齢者,重いものを運ぶ,はい,キーボード;その他,はい,,あると思います！,1
Hyun,はい,病院,はい,身体に障がいのある方,重いものを運ぶ,いいえ,,はい,,あると思います！,ありがとうございます
asdf,はい,病院,,,,いいえ,,はい,,どうでしょうか？,頑張って
werq,はい,建設,,,重いものを運ぶ,いいえ,,はい,,,頑張ってください
qwer,はい,建設,はい,高齢者,,はい,マウス,いいえ,,,ありがとうございます
12da,はい,公園,,,重いものを運ぶ,いいえ,,いいえ,,,ありがとうございます
q123qw,はい,工場,,重度の神経疾患を持つ方,部品の組み立て,はい,視線;筋電;マウス,はい,,,ありがとうございます
ikgmso,いいえ,,いいえ,災害支援,部品の組み立て,,,,,,頑張ってください
vidf,いいえ,,はい,忙しい生活を送る人（時短目的）,,,,,,,ください
山本 美咲,はい,"料理中",,,"タブレット操作","はい","視線;脳波","いいえ",""
中村 誠,はい,"工場",,,"部品の組み立て","いいえ",,"はい",""
藤本 美紀,いいえ,,"はい","高齢者",,,,,
内田 篤人,いいえ,,"いいえ",,部品の組み立て,,,,,
中山 雅史,いいえ,,"はい","その他（自由記述）",,,,,
田中,はい,お家,,,重いものを運ぶ,はい,視線;筋電,はい,,,ありがとうございます
Juwon,いいえ,,はい,災害時に,,,,,,,ないです
加藤 直樹,はい,"車の運転中",,,"ナビのタッチ操作","はい","視線","はい","音声認識の精度を上げてほしい"
岡田 智子,はい,"子供を抱っこしながら",,,"簡単な物の掴み・移動","いいえ",,"はい","もっと軽量化してほしい"
12,いいえ,,はい,1,,,,,,,1
123,いいえ,,いいえ,1,,,,,,,1
Hyun Juwon,いいえ,,いいえ,わかりません,,,,,,,ありません
123,いいえ,,いいえ,1,,,,,,,1
12,いいえ,,いいえ,12,,,,,,,3
hs,はい,j,,,k,はい,脳波,はい,,,k
j,いいえ,,はい,k,,,,,,,；
