needSupport,specificSituation,interfaces,needMaintenance,precisionOrStrength,otherComments,userName
はい,学校,"キーボード,マウス,その他",いいえ,部品の組み立て,ありがとうございます！,a,
いいえ,職場,"脳波,視線,筋電,キーボード,マウス,その他",はい,部品の組み立て,あり！,b,
はい,工場,"脳波,視線,筋電,キーボード,マウス,その他",いいえ,部品の組み立て,よ！,c,
はい,公園,"脳波,視線,マウス,その他",いいえ,部品の組み立て,へい！,d,
いいえ,工場,"脳波,視線,筋電,キーボード,マウス,その他",はい,部品の組み立て,ないです,e,
はい,病院,"脳波,視線,筋電,キーボード,マウス,その他",いいえ,部品の組み立て,ありがとうございます！,f,
はい,病院,"脳波,視線,筋電,キーボード,マウス,その他",いいえ,部品の組み立て,ありがとうございます！,g,
いいえ,工場,"脳波,マウス,その他",いいえ,部品の組み立て,ありがとうございます！,h,
はい,家,"脳波,視線,筋電,キーボード,マウス,その他",いいえ,部品の組み立て,ありがとうございます！,i,
いいえ,空,"脳波,視線,筋電,キーボード,マウス,その他",いいえ,部品の組み立て,ありがとうございます！,j,
はい,工場,"脳波,視線,筋電,キーボード",はい,部品の組み立て,ありがとうございます！,k,
はい,工場,"脳波,視線,筋電,キーボード,マウス,その他",いいえ,部品の組み立て,ありがとうございます！,l,
はい,学校,"筋電,キーボード,マウス,その他",いいえ,部品の組み立て,ありがとうございます！,n,
いいえ,工場,"脳波,視線,筋電,キーボード,マウス,その他",はい,部品の組み立て,ありがとうございます！,m,
はい,学校,"脳波,視線,筋電,マウス,その他",いいえ,部品の立て,ありがとうございます！,o,
いいえ,学校,"脳波,キーボード,マウス,その他",はい,部品の組み,ありがとうございます！,p,
はい,工場,"筋電,キーボード,マウス,その他",いいえ,物の運び,ありがとうございます！,q,いいえ,,,,,,1いいえ,,,,,,1いいえ,,,,,,1いいえ,,,,,,1いいえ,,,,,,1いいえ,,,,,,1はい,,,はい,,,1はい,asdf,筋電,はい,1,2,1はい,asdf,筋電,はい,2,1,1はい,asdf,"視線,その他,筋電",はい,2,1,1はい,ffff,"視線,その他,筋電",はい,2,1,1はい,123,"視線,その他,筋電,マウス",はい,2,1,1はい,123123,"視線,その他,筋電,マウス",はい,2,1,1
